2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:29 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "химические науки"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "химические науки"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "организованное целое"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:24:30 INFO - Word dictionary doesn't contain word: "сильная склонность"
2015-04-29 00:24:31 INFO - Word dictionary doesn't contain word: "кавказцы"
2015-04-29 00:24:31 INFO - Word dictionary doesn't contain word: "кавказцы"
2015-04-29 00:24:32 INFO - Word dictionary doesn't contain word: "органы при президенте"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "местонахождение или обозначение"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "местонахождение или обозначение"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "местонахождение или обозначение"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "что записано"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "отправить для доставки"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "отправить для доставки"
2015-04-29 00:24:33 INFO - Word dictionary doesn't contain word: "отправить для доставки"
